"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"679744159863812096","679712923829157888","177116339","2015-12-23 19:23:31 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@philipsindia I can only hope u will look into it not make me fool or mislead me with wrong information ....","","","",""
"679739310782808064","679738948806160384","319078159","2015-12-23 19:04:15 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@PhilipsCare sure I feel like loosing hope in Philips u can use any medium just get my issue resolved","","","",""
"679707162529009664","","319078159","2015-12-23 16:56:30 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@PhilipsCare My issue is pendng with philips india from last one month(TV)PLKW2611150051.I hav been fooled from 30 days .Kindlyintervene","","","",""
"679704677080891392","679704251782705154","177116339","2015-12-23 16:46:37 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@philipsindia  I really dont need your apology.I have seen like fool after buying phillips TV .Kindly escalate or intervene","","","",""
"679703832041926657","","344697153","2015-12-23 16:43:16 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@PhilipsCare_IN My issue is pendng with philips india from last one month(TV)PLKW2611150051.I hav been fooled from 30 days.Kindlyintervene","","","",""
"679703708125429760","","344697153","2015-12-23 16:42:46 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@PhilipsCare_IN My issue is pendng with philips india from last one month(TV)PLKW2611150051.I hav been fooled from 30 days .Kindlyintervene","","","",""
"679695320486301696","","148246109","2015-12-23 16:09:27 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@FransVanHouten My issue is pendng with philips india from last one month(TV)PLKW2611150051.I hav been fooled from 30 days .Kindlyintervene","","","",""
"679695270355980289","","2397901034","2015-12-23 16:09:15 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@PhilipsFDN My issue is pendng with philips india from last one month(TV)PLKW2611150051.I hav been fooled from 30 days .Kindlyintervene","","","",""
"679693783554867200","","177116339","2015-12-23 16:03:20 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@philipsindia  My issue is pendng with philips india from last one month(TV)PLKW2611150051.I hav been fooled from 30 days .Kindlyintervene","","","",""
"679693729993605120","","883985880","2015-12-23 16:03:07 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@PhilipsTVsIndia My issue is pendng with philips india from last one month(TV)PLKW2611150051.I hav been fooled from 30 days .Kindlyintervene","","","",""
"679689478051463168","","819791","2015-12-23 15:46:14 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@Philips My issue is pending with phillips india from last one month (TV) PLKW2611150051 .I have been fooled from last month.Kindlyintervene","","","",""
